,fps,frame_end,frame_start,instance_id,signer_id,source,split,url,variation_id,video_id,bbox_xmin,bbox_ymin,bbox_xmax,bbox_ymax,gloss
559,25,-1,1,5,6,signschool,val,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Oops%2C%20Accident%202-QRE4kaRRdnQ.mp4,1,627,662,54,1434,1080,accident
560,25,-1,1,6,6,signschool,train,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Oops%2C%20Accident-CUc50MMnZ1g.mp4,1,628,677,98,1386,1080,accident
561,25,-1,1,7,13,asldeafined,train,https://media.asldeafined.com/vocabulary/1466168079.5866.mp4,0,629,69,23,613,480,accident
5004,25,-1,1,11,32,signschool,train,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Add%2C%20Combine-vT5ZZyUmDrI.mp4,0,963,436,44,1673,1080,add
5005,25,-1,1,12,4,signschool,train,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Add-JLMkC-sknAo.mp4,0,964,301,49,1580,1080,add
805,25,-1,1,3,6,signschool,train,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Africa%202-TrChLRg2itY.mp4,1,1385,670,44,1529,1078,africa
806,25,-1,1,4,6,signschool,test,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Africa%203-Jn6HQbdJE48.mp4,1,1386,717,44,1540,1080,africa
807,25,-1,1,5,6,signschool,train,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Africa-il-R1NptEEw.mp4,0,1387,525,51,1520,1080,africa
3943,25,-1,1,11,13,asldeafined,test,https://media.asldeafined.com/vocabulary/1466171592.603.mp4,0,1554,108,23,514,480,ago
3944,25,-1,1,13,11,signingsavvy,train,https://www.signingsavvy.com/signs/mp4/5/5971.mp4,0,1556,65,9,219,192,ago
3055,25,-1,1,10,13,asldeafined,train,https://media.asldeafined.com/vocabulary/1466173430.6335.mp4,0,2106,136,21,508,480,alone
3056,25,-1,1,12,11,signingsavvy,val,https://www.signingsavvy.com/signs/mp4/14/14274.mp4,0,2108,64,11,208,192,alone
2335,25,-1,1,9,36,startasl,test,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/animal.mp4,0,2585,218,16,539,414,animal
2336,25,-1,1,10,4,signschool,val,https://signstock.blob.core.windows.net/signschool/videos/SignSchool%20Animal.mp4,0,2586,446,47,1125,720,animal
577,25,-1,1,17,36,startasl,train,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/apple.mp4,0,3002,212,17,526,414,apple
578,25,-1,1,18,13,asldeafined,train,https://media.asldeafined.com/vocabulary/1466511662.3373.mp4,0,3003,24,13,526,480,apple
569,25,-1,1,6,11,signingsavvy,train,https://www.signingsavvy.com/signs/mp4/7/7981.mp4,0,3005,64,15,229,192,apple
3062,25,-1,1,8,36,startasl,train,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/appointment.mp4,0,3057,222,18,527,414,appointment
3063,25,-1,1,9,46,signschool,test,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Appointment-_6p2vswcewI.mp4,0,3058,314,20,1230,1080,appointment
3064,25,-1,1,10,60,signschool,train,https://signstock.blob.core.windows.net/signschool/videos/SignSchool%20Appointment.mp4,0,3059,234,13,589,360,appointment
2341,25,-1,1,5,31,signschool,val,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Quarrel%2C%20Argue%2C%20Fight%202-OartPoM9-SU.mp4,0,3272,533,61,1661,1080,argue
2342,25,-1,1,6,31,signschool,train,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Quarrel%2C%20Argue%2C%20Fight-UcpFQj0a-Zs.mp4,0,3273,463,77,1769,1080,argue
3068,25,-1,1,2,45,signschool,train,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Australia%202-TPHeMqSGgCM.mp4,0,4187,514,102,1668,1080,australia
3069,25,-1,1,3,6,signschool,train,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Australia-jrfLziRGVAU.mp4,0,4188,558,51,1540,1080,australia
2354,25,-1,1,9,4,signschool,test,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Baby%204-oRjJ3LS6Xbk.mp4,0,4507,632,59,1521,1080,baby
2355,25,-1,1,10,4,signschool,val,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Baby-BUz2y48AUek.mp4,0,4508,492,63,1586,1080,baby
2356,25,-1,1,11,13,asldeafined,test,https://media.asldeafined.com/vocabulary/1466647880.6971.mp4,0,4509,63,22,621,480,baby
1362,25,-1,1,6,52,signschool,train,https://signstock.blob.core.windows.net/signschool/videos/SignSchool%20bad5.mp4,0,4713,231,7,579,360,bad
1363,25,-1,1,8,13,asldeafined,val,https://media.asldeafined.com/vocabulary/1466648215.3053.mp4,0,4715,128,31,538,480,bad
