,fps,frame_end,frame_start,instance_id,signer_id,source,split,url,variation_id,video_id,bbox_xmin,bbox_ymin,bbox_xmax,bbox_ymax,gloss
565,25,-1,1,12,26,spreadthesign,train,https://media.spreadthesign.com/video/mp4/13/118182.mp4,1,623,54,6,272,240,accident
556,25,-1,1,2,29,spreadthesign,train,https://media.spreadthesign.com/video/mp4/13/72311.mp4,0,624,42,6,278,240,accident
557,25,-1,1,3,6,signschool,test,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Accident%2C%20Accidentally-0F9FseAyJb4.mp4,1,625,675,50,1461,1080,accident
558,25,-1,1,4,32,signschool,val,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Car%20Accident-lEGmzocv1g4.mp4,0,626,485,85,1608,1080,accident
559,25,-1,1,5,6,signschool,val,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Oops%2C%20Accident%202-QRE4kaRRdnQ.mp4,1,627,662,54,1434,1080,accident
560,25,-1,1,6,6,signschool,train,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Oops%2C%20Accident-CUc50MMnZ1g.mp4,1,628,677,98,1386,1080,accident
561,25,-1,1,7,13,asldeafined,train,https://media.asldeafined.com/vocabulary/1466168079.5866.mp4,0,629,69,23,613,480,accident
562,25,-1,1,9,10,signingsavvy,train,https://www.signingsavvy.com/signs/mp4/24/24332.mp4,0,631,40,15,252,192,accident
563,25,-1,1,10,11,signingsavvy,train,https://www.signingsavvy.com/signs/mp4/5/5277.mp4,1,632,53,14,218,192,accident
567,25,-1,1,15,11,signingsavvy,test,https://www.signingsavvy.com/signs/mp4/7/7493.mp4,0,634,61,12,227,192,accident
555,25,-1,1,1,12,aslsearch,train,http://www.aslsearch.com/signs/videos/accident.mp4,0,639,180,45,574,400,accident
574,25,-1,1,13,37,spreadthesign,val,https://media.spreadthesign.com/video/mp4/13/455436.mp4,0,2999,44,0,232,240,apple
575,25,-1,1,15,28,spreadthesign,train,https://media.spreadthesign.com/video/mp4/13/480702.mp4,0,3000,41,13,259,240,apple
576,25,-1,1,16,38,startasl,train,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/apple-2.mp4,0,3001,350,53,815,720,apple
577,25,-1,1,17,36,startasl,train,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/apple.mp4,0,3002,212,17,526,414,apple
578,25,-1,1,18,13,asldeafined,train,https://media.asldeafined.com/vocabulary/1466511662.3373.mp4,0,3003,24,13,526,480,apple
569,25,-1,1,6,11,signingsavvy,train,https://www.signingsavvy.com/signs/mp4/7/7981.mp4,0,3005,64,15,229,192,apple
570,25,-1,1,9,12,aslsearch,train,http://www.aslsearch.com/signs/videos/apple.mp4,0,3008,158,50,541,399,apple
3060,25,-1,1,5,37,spreadthesign,train,https://media.spreadthesign.com/video/mp4/13/186262.mp4,0,3055,24,0,295,240,appointment
3061,25,-1,1,7,2,spreadthesign,train,https://media.spreadthesign.com/video/mp4/13/89669.mp4,0,3056,65,15,265,240,appointment
3062,25,-1,1,8,36,startasl,train,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/appointment.mp4,0,3057,222,18,527,414,appointment
3063,25,-1,1,9,46,signschool,test,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Appointment-_6p2vswcewI.mp4,0,3058,314,20,1230,1080,appointment
3064,25,-1,1,10,60,signschool,train,https://signstock.blob.core.windows.net/signschool/videos/SignSchool%20Appointment.mp4,0,3059,234,13,589,360,appointment
3065,25,-1,1,11,13,asldeafined,test,https://media.asldeafined.com/vocabulary/1466511982.60.mp4,0,3060,119,22,540,480,appointment
3066,25,-1,1,12,10,signingsavvy,val,https://www.signingsavvy.com/signs/mp4/22/22122.mp4,0,3061,89,24,226,192,appointment
3057,25,-1,1,2,11,signingsavvy,train,https://www.signingsavvy.com/signs/mp4/6/6265.mp4,0,3062,76,15,215,192,appointment
3058,25,-1,1,3,12,aslsearch,train,http://www.aslsearch.com/signs/videos/appointment.mp4,0,3063,177,50,541,400,appointment
2348,25,-1,1,17,2,spreadthesign,train,https://media.spreadthesign.com/video/mp4/13/122547.mp4,0,3267,32,3,295,240,argue
2339,25,-1,1,1,36,startasl,train,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/argue.mp4,0,3268,156,17,579,414,argue
2340,25,-1,1,3,38,startasl,train,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/spat.mp4,0,3270,359,52,905,720,argue
2341,25,-1,1,5,31,signschool,val,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Quarrel%2C%20Argue%2C%20Fight%202-OartPoM9-SU.mp4,0,3272,533,61,1661,1080,argue
2342,25,-1,1,6,31,signschool,train,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Quarrel%2C%20Argue%2C%20Fight-UcpFQj0a-Zs.mp4,0,3273,463,77,1769,1080,argue
2343,25,-1,1,7,13,asldeafined,train,https://media.asldeafined.com/vocabulary/1466512503.4091.mp4,0,3274,127,22,612,480,argue
2345,25,-1,1,11,10,signingsavvy,train,https://www.signingsavvy.com/signs/mp4/22/22238.mp4,0,3277,60,21,233,192,argue
2346,25,-1,1,12,10,signingsavvy,test,https://www.signingsavvy.com/signs/mp4/22/22240.mp4,0,3278,63,22,221,192,argue
