,fps,frame_end,frame_start,instance_id,signer_id,source,split,url,variation_id,video_id,bbox_xmin,bbox_ymin,bbox_xmax,bbox_ymax,gloss
565,25,-1,1,12,26,spreadthesign,train,https://media.spreadthesign.com/video/mp4/13/118182.mp4,1,623,54,6,272,240,accident
556,25,-1,1,2,29,spreadthesign,train,https://media.spreadthesign.com/video/mp4/13/72311.mp4,0,624,42,6,278,240,accident
557,25,-1,1,3,6,signschool,test,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Accident%2C%20Accidentally-0F9FseAyJb4.mp4,1,625,675,50,1461,1080,accident
560,25,-1,1,6,6,signschool,train,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Oops%2C%20Accident-CUc50MMnZ1g.mp4,1,628,677,98,1386,1080,accident
561,25,-1,1,7,13,asldeafined,train,https://media.asldeafined.com/vocabulary/1466168079.5866.mp4,0,629,69,23,613,480,accident
562,25,-1,1,9,10,signingsavvy,train,https://www.signingsavvy.com/signs/mp4/24/24332.mp4,0,631,40,15,252,192,accident
555,25,-1,1,1,12,aslsearch,train,http://www.aslsearch.com/signs/videos/accident.mp4,0,639,180,45,574,400,accident
3052,25,-1,1,7,26,spreadthesign,train,https://media.spreadthesign.com/video/mp4/13/118417.mp4,0,2103,73,7,238,240,alone
3055,25,-1,1,10,13,asldeafined,train,https://media.asldeafined.com/vocabulary/1466173430.6335.mp4,0,2106,136,21,508,480,alone
3056,25,-1,1,12,11,signingsavvy,val,https://www.signingsavvy.com/signs/mp4/14/14274.mp4,0,2108,64,11,208,192,alone
3048,25,-1,1,1,11,signingsavvy,train,https://www.signingsavvy.com/signs/mp4/14/14275.mp4,0,2109,80,12,209,192,alone
3049,25,-1,1,2,11,signingsavvy,train,https://www.signingsavvy.com/signs/mp4/14/14276.mp4,0,2110,69,10,209,192,alone
3051,25,-1,1,6,41,aslsearch,train,http://www.aslsearch.com/signs/videos/alone.mp4,0,2112,234,34,485,400,alone
2333,25,-1,1,6,19,elementalasl,train,https://elementalaslconcepts.weebly.com/uploads/2/4/4/5/24454483/animal.mov,0,2583,18,3,320,180,animal
2334,25,-1,1,8,2,spreadthesign,train,https://media.spreadthesign.com/video/mp4/13/118511.mp4,0,2584,60,4,273,240,animal
2335,25,-1,1,9,36,startasl,test,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/animal.mp4,0,2585,218,16,539,414,animal
2337,25,-1,1,11,13,asldeafined,test,https://media.asldeafined.com/vocabulary/1466510256.6098.mp4,0,2587,80,15,622,480,animal
2338,25,-1,1,13,11,signingsavvy,train,https://www.signingsavvy.com/signs/mp4/14/14630.mp4,0,2589,68,8,225,192,animal
574,25,-1,1,13,37,spreadthesign,val,https://media.spreadthesign.com/video/mp4/13/455436.mp4,0,2999,44,0,232,240,apple
575,25,-1,1,15,28,spreadthesign,train,https://media.spreadthesign.com/video/mp4/13/480702.mp4,0,3000,41,13,259,240,apple
577,25,-1,1,17,36,startasl,train,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/apple.mp4,0,3002,212,17,526,414,apple
578,25,-1,1,18,13,asldeafined,train,https://media.asldeafined.com/vocabulary/1466511662.3373.mp4,0,3003,24,13,526,480,apple
3060,25,-1,1,5,37,spreadthesign,train,https://media.spreadthesign.com/video/mp4/13/186262.mp4,0,3055,24,0,295,240,appointment
3061,25,-1,1,7,2,spreadthesign,train,https://media.spreadthesign.com/video/mp4/13/89669.mp4,0,3056,65,15,265,240,appointment
3062,25,-1,1,8,36,startasl,train,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/appointment.mp4,0,3057,222,18,527,414,appointment
3063,25,-1,1,9,46,signschool,test,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Appointment-_6p2vswcewI.mp4,0,3058,314,20,1230,1080,appointment
3064,25,-1,1,10,60,signschool,train,https://signstock.blob.core.windows.net/signschool/videos/SignSchool%20Appointment.mp4,0,3059,234,13,589,360,appointment
3065,25,-1,1,11,13,asldeafined,test,https://media.asldeafined.com/vocabulary/1466511982.60.mp4,0,3060,119,22,540,480,appointment
3066,25,-1,1,12,10,signingsavvy,val,https://www.signingsavvy.com/signs/mp4/22/22122.mp4,0,3061,89,24,226,192,appointment
3057,25,-1,1,2,11,signingsavvy,train,https://www.signingsavvy.com/signs/mp4/6/6265.mp4,0,3062,76,15,215,192,appointment
3058,25,-1,1,3,12,aslsearch,train,http://www.aslsearch.com/signs/videos/appointment.mp4,0,3063,177,50,541,400,appointment
1370,25,-1,1,2,36,startasl,train,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/ball.mp4,0,4850,210,16,534,414,ball
1372,25,-1,1,4,13,asldeafined,train,https://media.asldeafined.com/vocabulary/1466648644.5380.mp4,0,4852,95,20,565,480,ball
1373,25,-1,1,6,11,signingsavvy,train,https://www.signingsavvy.com/signs/mp4/14/14844.mp4,0,4854,73,15,215,192,ball
1377,25,-1,1,19,41,aslsearch,train,http://www.aslsearch.com/signs/videos/ball.mp4,0,4864,217,39,481,400,ball
3087,25,-1,1,7,2,spreadthesign,train,https://media.spreadthesign.com/video/mp4/13/123217.mp4,0,4867,25,9,282,240,balloon
3088,25,-1,1,8,4,signschool,train,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Balloon%202-pwZGdgrbI90.mp4,0,4868,608,48,1730,1080,balloon
